"File_name" "Experiment" "Cell_type" "Antibody" "BufferNum" "Replicate" "Experiment_label"
"Screen_March_mIgG_LFQ_1" "mIgG_LFQ_1" "N2102Ep" "mIgG" 1 1 "N2102Ep_mIgG_Buffer1"
"Screen_March_mIgG_LFQ_10" "mIgG_LFQ_10" "N2102Ep" "mIgG" 10 2 "N2102Ep_mIgG_Buffer10"
"Screen_March_mIgG_LFQ_11" "mIgG_LFQ_11" "N2102Ep" "mIgG" 10 3 "N2102Ep_mIgG_Buffer10"
"Screen_March_mIgG_LFQ_12" "mIgG_LFQ_12" "N2102Ep" "mIgG" 10 4 "N2102Ep_mIgG_Buffer10"
"Screen_March_mIgG_LFQ_13" "mIgG_LFQ_13" "N2102Ep" "mIgG" 11 1 "N2102Ep_mIgG_Buffer11"
"Screen_March_mIgG_LFQ_15" "mIgG_LFQ_15" "N2102Ep" "mIgG" 11 3 "N2102Ep_mIgG_Buffer11"
"Screen_March_mIgG_LFQ_16" "mIgG_LFQ_16" "N2102Ep" "mIgG" 11 4 "N2102Ep_mIgG_Buffer11"
"Screen_March_mIgG_LFQ_17" "mIgG_LFQ_17" "N2102Ep" "mIgG" 13 1 "N2102Ep_mIgG_Buffer13"
"Screen_March_mIgG_LFQ_18" "mIgG_LFQ_18" "N2102Ep" "mIgG" 13 2 "N2102Ep_mIgG_Buffer13"
"Screen_March_mIgG_LFQ_19" "mIgG_LFQ_19" "N2102Ep" "mIgG" 13 3 "N2102Ep_mIgG_Buffer13"
"Screen_March_mIgG_LFQ_2" "mIgG_LFQ_2" "N2102Ep" "mIgG" 1 2 "N2102Ep_mIgG_Buffer1"
"Screen_March_mIgG_LFQ_20" "mIgG_LFQ_20" "N2102Ep" "mIgG" 13 4 "N2102Ep_mIgG_Buffer13"
"Screen_March_mIgG_LFQ_21" "mIgG_LFQ_21" "N2102Ep" "mIgG" 17 1 "N2102Ep_mIgG_Buffer17"
"Screen_March_mIgG_LFQ_22" "mIgG_LFQ_22" "N2102Ep" "mIgG" 17 2 "N2102Ep_mIgG_Buffer17"
"Screen_March_mIgG_LFQ_23" "mIgG_LFQ_23" "N2102Ep" "mIgG" 17 3 "N2102Ep_mIgG_Buffer17"
"Screen_March_mIgG_LFQ_24" "mIgG_LFQ_24" "N2102Ep" "mIgG" 17 4 "N2102Ep_mIgG_Buffer17"
"Screen_March_mIgG_LFQ_3" "mIgG_LFQ_3" "N2102Ep" "mIgG" 1 3 "N2102Ep_mIgG_Buffer1"
"Screen_March_mIgG_LFQ_4" "mIgG_LFQ_4" "N2102Ep" "mIgG" 1 4 "N2102Ep_mIgG_Buffer1"
"Screen_March_mIgG_LFQ_5" "mIgG_LFQ_5" "N2102Ep" "mIgG" 9 1 "N2102Ep_mIgG_Buffer9"
"Screen_March_mIgG_LFQ_6" "mIgG_LFQ_6" "N2102Ep" "mIgG" 9 2 "N2102Ep_mIgG_Buffer9"
"Screen_March_mIgG_LFQ_7" "mIgG_LFQ_7" "N2102Ep" "mIgG" 9 3 "N2102Ep_mIgG_Buffer9"
"Screen_March_mIgG_LFQ_8" "mIgG_LFQ_8" "N2102Ep" "mIgG" 9 4 "N2102Ep_mIgG_Buffer9"
"Screen_March_mIgG_LFQ_9" "mIgG_LFQ_9" "N2102Ep" "mIgG" 10 1 "N2102Ep_mIgG_Buffer10"
"Screen_March_Orf1_LFQ_1" "Orf1_LFQ_1" "N2102Ep" "Orf1" 1 1 "N2102Ep_Orf1_Buffer1"
"Screen_March_Orf1_LFQ_11" "Orf1_LFQ_11" "N2102Ep" "Orf1" 10 3 "N2102Ep_Orf1_Buffer10"
"Screen_March_Orf1_LFQ_12" "Orf1_LFQ_12" "N2102Ep" "Orf1" 10 4 "N2102Ep_Orf1_Buffer10"
"Screen_March_Orf1_LFQ_13" "Orf1_LFQ_13" "N2102Ep" "Orf1" 11 1 "N2102Ep_Orf1_Buffer11"
"Screen_March_Orf1_LFQ_14" "Orf1_LFQ_14" "N2102Ep" "Orf1" 11 2 "N2102Ep_Orf1_Buffer11"
"Screen_March_Orf1_LFQ_15" "Orf1_LFQ_15" "N2102Ep" "Orf1" 11 3 "N2102Ep_Orf1_Buffer11"
"Screen_March_Orf1_LFQ_16" "Orf1_LFQ_16" "N2102Ep" "Orf1" 11 4 "N2102Ep_Orf1_Buffer11"
"Screen_March_Orf1_LFQ_18" "Orf1_LFQ_18" "N2102Ep" "Orf1" 13 2 "N2102Ep_Orf1_Buffer13"
"Screen_March_Orf1_LFQ_19" "Orf1_LFQ_19" "N2102Ep" "Orf1" 13 3 "N2102Ep_Orf1_Buffer13"
"Screen_March_Orf1_LFQ_2" "Orf1_LFQ_2" "N2102Ep" "Orf1" 1 2 "N2102Ep_Orf1_Buffer1"
"Screen_March_Orf1_LFQ_20" "Orf1_LFQ_20" "N2102Ep" "Orf1" 13 4 "N2102Ep_Orf1_Buffer13"
"Screen_March_Orf1_LFQ_21" "Orf1_LFQ_21" "N2102Ep" "Orf1" 17 1 "N2102Ep_Orf1_Buffer17"
"Screen_March_Orf1_LFQ_22" "Orf1_LFQ_22" "N2102Ep" "Orf1" 17 2 "N2102Ep_Orf1_Buffer17"
"Screen_March_Orf1_LFQ_23" "Orf1_LFQ_23" "N2102Ep" "Orf1" 17 3 "N2102Ep_Orf1_Buffer17"
"Screen_March_Orf1_LFQ_24" "Orf1_LFQ_24" "N2102Ep" "Orf1" 17 4 "N2102Ep_Orf1_Buffer17"
"Screen_March_Orf1_LFQ_3" "Orf1_LFQ_3" "N2102Ep" "Orf1" 1 3 "N2102Ep_Orf1_Buffer1"
"Screen_March_Orf1_LFQ_4" "Orf1_LFQ_4" "N2102Ep" "Orf1" 1 4 "N2102Ep_Orf1_Buffer1"
"Screen_March_Orf1_LFQ_5" "Orf1_LFQ_5" "N2102Ep" "Orf1" 9 1 "N2102Ep_Orf1_Buffer9"
"Screen_March_Orf1_LFQ_6" "Orf1_LFQ_6" "N2102Ep" "Orf1" 9 2 "N2102Ep_Orf1_Buffer9"
"Screen_March_Orf1_LFQ_7" "Orf1_LFQ_7" "N2102Ep" "Orf1" 9 3 "N2102Ep_Orf1_Buffer9"
"Screen_March_Orf1_LFQ_8" "Orf1_LFQ_8" "N2102Ep" "Orf1" 9 4 "N2102Ep_Orf1_Buffer9"
"Screen_March_Orf1_LFQ_9" "Orf1_LFQ_9" "N2102Ep" "Orf1" 10 1 "N2102Ep_Orf1_Buffer10"
